param->optimization_type, NL_LTP_Gp, NL_LTD_Gp, NL_LTP_Gn, NL_LTD_Gn, kp, kd, knp, knd, pLA, nLA, pLAd,nLAd, pof, nof, newUpdateRate, nnewUpdateRate, ReverseUpdate, RefreshRate, FullRefresh, dominance, wv, epoch, accuracy, average accuracy, standard deviation
SGD, 1, -9, 1, -9, 128, 1, 128, 1, 0.3, 0.3, 0.15,0.2, 12.5, 12.5, 150, 150, 1, 1000, 0, 1, 0, 1, 29.46, 29.46, 0
SGD, 1, -9, 1, -9, 128, 1, 128, 1, 0.3, 0.3, 0.15,0.2, 12.5, 12.5, 150, 150, 1, 1000, 0, 1, 0, 2, 35.74, 32.6, 3.14
SGD, 1, -9, 1, -9, 128, 1, 128, 1, 0.3, 0.3, 0.15,0.2, 12.5, 12.5, 150, 150, 1, 1000, 0, 1, 0, 3, 38.81, 34.67, 3.89138
SGD, 1, -9, 1, -9, 128, 1, 128, 1, 0.3, 0.3, 0.15,0.2, 12.5, 12.5, 150, 150, 1, 1000, 0, 1, 0, 4, 36.27, 35.07, 3.44052
SGD, 1, -9, 1, -9, 128, 1, 128, 1, 0.3, 0.3, 0.15,0.2, 12.5, 12.5, 150, 150, 1, 1000, 0, 1, 0, 5, 53.96, 38.848, 8.15861
SGD, 1, -9, 1, -9, 128, 1, 128, 1, 0.3, 0.3, 0.15,0.2, 12.5, 12.5, 150, 150, 1, 1000, 0, 1, 0, 6, 30.91, 37.525, 8.01378
SGD, 1, -9, 1, -9, 128, 1, 128, 1, 0.3, 0.3, 0.15,0.2, 12.5, 12.5, 150, 150, 1, 1000, 0, 1, 0, 7, 46.97, 38.8743, 8.12218
SGD, 1, -9, 1, -9, 128, 1, 128, 1, 0.3, 0.3, 0.15,0.2, 12.5, 12.5, 150, 150, 1, 1000, 0, 1, 0, 8, 45.86, 39.7475, 7.9411
SGD, 1, -9, 1, -9, 128, 1, 128, 1, 0.3, 0.3, 0.15,0.2, 12.5, 12.5, 150, 150, 1, 1000, 0, 1, 0, 9, 44.08, 40.2289, 7.60974
param->optimization_type, NL_LTP_Gp, NL_LTD_Gp, NL_LTP_Gn, NL_LTD_Gn, kp, kd, knp, knd, pLA, nLA, pLAd,nLAd, pof, nof, newUpdateRate, nnewUpdateRate, ReverseUpdate, RefreshRate, FullRefresh, dominance, wv, epoch, accuracy, average accuracy, standard deviation
SGD, 1, -9, 1, -9, 128, 1, 128, 1, 0.3, 0.3, 0.15,0.2, inf, inf, 150, 150, 1, 1000, 0, 1, 0, 1, 22.67, 22.67, 0
SGD, 1, -9, 1, -9, 128, 1, 128, 1, 0.3, 0.3, 0.15,0.2, inf, inf, 150, 150, 1, 1000, 0, 1, 0, 2, 26.65, 24.66, 1.99
SGD, 1, -9, 1, -9, 128, 1, 128, 1, 0.3, 0.3, 0.15,0.2, inf, inf, 150, 150, 1, 1000, 0, 1, 0, 3, 23.26, 24.1933, 1.75375
SGD, 1, -9, 1, -9, 128, 1, 128, 1, 0.3, 0.3, 0.15,0.2, inf, inf, 150, 150, 1, 1000, 0, 1, 0, 4, 33.36, 26.485, 4.24993
SGD, 1, -9, 1, -9, 128, 1, 128, 1, 0.3, 0.3, 0.15,0.2, inf, inf, 150, 150, 1, 1000, 0, 1, 0, 5, 46.48, 30.484, 8.85537
SGD, 1, -9, 1, -9, 128, 1, 128, 1, 0.3, 0.3, 0.15,0.2, inf, inf, 150, 150, 1, 1000, 0, 1, 0, 6, 40.24, 32.11, 8.86382
SGD, 1, -9, 1, -9, 128, 1, 128, 1, 0.3, 0.3, 0.15,0.2, inf, inf, 150, 150, 1, 1000, 0, 1, 0, 7, 46.65, 34.1871, 9.6556
SGD, 1, -9, 1, -9, 128, 1, 128, 1, 0.3, 0.3, 0.15,0.2, inf, inf, 150, 150, 1, 1000, 0, 1, 0, 8, 51.76, 36.3838, 10.7402
SGD, 1, -9, 1, -9, 128, 1, 128, 1, 0.3, 0.3, 0.15,0.2, inf, inf, 150, 150, 1, 1000, 0, 1, 0, 9, 52.43, 38.1667, 11.3122
SGD, 1, -9, 1, -9, 128, 1, 128, 1, 0.3, 0.3, 0.15,0.2, inf, inf, 150, 150, 1, 1000, 0, 1, 0, 10, 47.85, 39.135, 11.1179
SGD, 1, -9, 1, -9, 128, 1, 128, 1, 0.3, 0.3, 0.15,0.2, inf, inf, 150, 150, 1, 1000, 0, 1, 0, 11, 46.85, 39.8364, 10.8301
SGD, 1, -9, 1, -9, 128, 1, 128, 1, 0.3, 0.3, 0.15,0.2, inf, inf, 150, 150, 1, 1000, 0, 1, 0, 12, 49.31, 40.6258, 10.6945
param->optimization_type, NL_LTP_Gp, NL_LTD_Gp, NL_LTP_Gn, NL_LTD_Gn, kp, kd, knp, knd, pLA, nLA, pLAd,nLAd, pof, nof, newUpdateRate, nnewUpdateRate, ReverseUpdate, RefreshRate, FullRefresh, dominance, wv, epoch, accuracy, average accuracy, standard deviation
SGD, 1, -9, 1, -9, 128, 1, 128, 1, 0.3, 0.3, 0.15,0.2, inf, inf, 50, 50, 1, 1000, 0, 1, 0, 1, 48.83, 48.83, 0
SGD, 1, -9, 1, -9, 128, 1, 128, 1, 0.3, 0.3, 0.15,0.2, inf, inf, 50, 50, 1, 1000, 0, 1, 0, 2, 51.36, 50.095, 1.265
SGD, 1, -9, 1, -9, 128, 1, 128, 1, 0.3, 0.3, 0.15,0.2, inf, inf, 50, 50, 1, 1000, 0, 1, 0, 3, 66.7, 55.63, 7.89552
SGD, 1, -9, 1, -9, 128, 1, 128, 1, 0.3, 0.3, 0.15,0.2, inf, inf, 50, 50, 1, 1000, 0, 1, 0, 4, 67.63, 58.63, 8.58804
SGD, 1, -9, 1, -9, 128, 1, 128, 1, 0.3, 0.3, 0.15,0.2, inf, inf, 50, 50, 1, 1000, 0, 1, 0, 5, 63.75, 59.654, 7.94971
param->optimization_type, NL_LTP_Gp, NL_LTD_Gp, NL_LTP_Gn, NL_LTD_Gn, kp, kd, knp, knd, pLA, nLA, pLAd,nLAd, pof, nof, newUpdateRate, nnewUpdateRate, ReverseUpdate, RefreshRate, FullRefresh, dominance, wv, epoch, accuracy, average accuracy, standard deviation
